epoch,train_accuracy,val_accuracy,train_loss,val_loss
10,0.8514,0.8186,0.6290,1.1642
1,0.8367,0.8620,0.6403,1.1211
2,0.8367,0.7362,0.6390,1.2467
3,0.8194,0.8580,0.6373,1.1250
4,0.8435,0.8572,0.6357,1.1258
5,0.8651,0.8570,0.6422,1.1259
6,0.8510,0.6706,0.6343,1.3124
7,0.8305,0.8522,0.6361,1.1307
8,0.8320,0.8062,0.6315,1.1767
9,0.8518,0.8914,0.6326,1.0915
10,0.8322,0.7577,0.6319,1.2251
1,0.8322,0.8544,0.6399,1.1286
2,0.8278,0.8585,0.6400,1.1244
3,0.8427,0.8210,0.6418,1.1619
4,0.8417,0.8709,0.6372,1.1121
5,0.8257,0.8613,0.6367,1.1216
6,0.8602,0.9202,0.6375,1.0628
7,0.8604,0.8271,0.6417,1.1557
8,0.8499,0.8343,0.6349,1.1486
9,0.8431,0.9081,0.6346,1.0748
10,0.8368,0.8104,0.6401,1.1725
1,0.8133,0.8515,0.1001,0.1075
2,0.8389,0.8471,0.0899,0.1029
3,0.8451,0.8490,0.0848,0.1036
4,0.8491,0.8466,0.0822,0.1057
5,0.8530,0.8536,0.0809,0.0995
6,0.8557,0.8666,0.0790,0.0938
7,0.8609,0.8595,0.0775,0.0985
8,0.8639,0.8756,0.0766,0.0874
9,0.8639,0.8680,0.0753,0.0907
10,0.8651,0.8685,0.0744,0.0944
1,0.8373,0.8585,0.0941,0.1021
2,0.8504,0.8555,0.0865,0.1040
3,0.8522,0.8563,0.0843,0.1023
4,0.8530,0.8258,0.0821,0.1146
5,0.8544,0.8610,0.0808,0.0975
6,0.8569,0.8387,0.0789,0.1026
7,0.8608,0.8540,0.0766,0.0933
8,0.8614,0.8908,0.0758,0.0752
9,0.8639,0.8675,0.0746,0.0918
10,0.8661,0.8471,0.0734,0.1045
1,0.8125,0.7843,0.0986,0.1314
2,0.8356,0.8506,0.0874,0.1026
3,0.8492,0.8513,0.0827,0.1037
4,0.8542,0.8851,0.0810,0.0772
5,0.8571,0.8646,0.0795,0.0962
6,0.8610,0.8690,0.0775,0.0964
7,0.8607,0.8521,0.0765,0.1056
8,0.8638,0.8667,0.0750,0.0926
9,0.8683,0.8860,0.0735,0.0787
10,0.8664,0.8753,0.0733,0.0864
1,0.8185,0.8294,0.0981,0.1150
2,0.8370,0.8632,0.0892,0.0942
3,0.8467,0.8453,0.0847,0.1011
4,0.8518,0.8372,0.0816,0.1100
5,0.8589,0.8728,0.0794,0.0902
6,0.8603,0.8612,0.0788,0.0955
7,0.8644,0.8972,0.0767,0.0719
8,0.8686,0.8460,0.0754,0.1114
9,0.8679,0.8654,0.0749,0.0952
10,0.8717,0.8679,0.0737,0.0941
1,0.8158,0.8716,0.0982,0.0846
2,0.8343,0.8622,0.0897,0.1009
3,0.8437,0.8621,0.0863,0.0959
4,0.8520,0.8365,0.0829,0.1163
5,0.8565,0.8427,0.0809,0.1072
6,0.8580,0.8598,0.0795,0.0975
7,0.8620,0.8475,0.0781,0.1066
8,0.8636,0.8699,0.0772,0.0887
9,0.8653,0.8749,0.0761,0.0901
10,0.8675,0.8443,0.0754,0.1091
1,0.8311,0.7255,0.1186,0.1564
2,0.8494,0.7991,0.1029,0.1208
3,0.8632,0.8371,0.0973,0.1109
4,0.8720,0.8501,0.0929,0.1094
5,0.8730,0.8614,0.0906,0.0971
6,0.8772,0.8449,0.0894,0.1038
7,0.8769,0.8421,0.0877,0.1072
8,0.8803,0.8387,0.0867,0.1093
9,0.8838,0.8479,0.0853,0.1027
10,0.8834,0.8536,0.0844,0.0990
1,0.8291,0.7564,0.1168,0.1303
2,0.8587,0.8331,0.0973,0.1045
3,0.8700,0.8546,0.0929,0.1006
4,0.8750,0.8568,0.0900,0.1039
5,0.8769,0.8398,0.0889,0.1124
6,0.8796,0.8552,0.0871,0.1059
7,0.8825,0.8482,0.0856,0.1061
8,0.8813,0.8564,0.0855,0.0980
9,0.8821,0.8572,0.0844,0.1030
10,0.8853,0.8396,0.0828,0.1125
1,0.8354,0.7102,0.1188,0.1614
2,0.8545,0.7710,0.1028,0.1257
3,0.8645,0.8093,0.0962,0.1266
4,0.8723,0.8597,0.0930,0.0997
5,0.8766,0.7804,0.0907,0.1526
6,0.8773,0.8240,0.0898,0.1231
7,0.8777,0.8535,0.0885,0.1030
8,0.8796,0.8502,0.0873,0.1049
9,0.8819,0.8358,0.0863,0.1140
10,0.8825,0.8576,0.0854,0.0984
1,0.8370,0.7730,0.1179,0.1331
2,0.8553,0.8830,0.1013,0.0767
3,0.8661,0.8446,0.0961,0.1115
4,0.8708,0.8630,0.0936,0.0996
5,0.8717,0.8614,0.0919,0.0962
6,0.8765,0.8832,0.0898,0.0805
7,0.8787,0.8610,0.0892,0.0957
8,0.8778,0.8548,0.0887,0.0981
9,0.8779,0.8636,0.0878,0.0958
10,0.8812,0.8506,0.0858,0.0997
1,0.8217,0.7730,0.1221,0.1236
2,0.8524,0.8023,0.1022,0.1067
3,0.8626,0.8565,0.0962,0.1027
4,0.8689,0.8920,0.0931,0.0784
5,0.8716,0.8428,0.0913,0.1078
6,0.8730,0.8523,0.0898,0.1004
7,0.8779,0.8501,0.0880,0.1025
8,0.8805,0.8639,0.0866,0.0955
9,0.8822,0.8486,0.0855,0.1042
10,0.8828,0.8415,0.0842,0.1087
1,0.8903,0.8592,0.0802,0.0944
2,0.9082,0.8748,0.0686,0.0839
3,0.9177,0.8914,0.0630,0.0770
4,0.9238,0.8993,0.0589,0.0711
5,0.9280,0.8886,0.0561,0.0794
6,0.9316,0.9031,0.0537,0.0693
7,0.9345,0.8963,0.0518,0.0748
8,0.9374,0.9126,0.0498,0.0634
9,0.9395,0.9074,0.0482,0.0681
10,0.9418,0.9149,0.0467,0.0621
1,0.8934,0.8891,0.0783,0.0779
2,0.9109,0.8778,0.0673,0.0831
3,0.9196,0.8933,0.0618,0.0764
4,0.9263,0.9006,0.0574,0.0732
5,0.9317,0.9120,0.0536,0.0638
6,0.9370,0.9192,0.0500,0.0594
7,0.9412,0.9215,0.0470,0.0581
8,0.9455,0.9202,0.0439,0.0601
9,0.9487,0.9262,0.0416,0.0570
10,0.9512,0.9245,0.0398,0.0583
1,0.8902,0.8683,0.0802,0.0910
2,0.9058,0.8797,0.0700,0.0854
3,0.9164,0.8875,0.0639,0.0805
4,0.9242,0.8933,0.0591,0.0764
5,0.9287,0.8967,0.0559,0.0767
6,0.9327,0.9133,0.0532,0.0634
7,0.9359,0.9112,0.0508,0.0659
8,0.9386,0.9064,0.0489,0.0696
9,0.9414,0.9175,0.0470,0.0610
10,0.9438,0.9150,0.0454,0.0643
1,0.8909,0.8780,0.0798,0.0801
2,0.9086,0.8869,0.0686,0.0783
3,0.9180,0.8823,0.0630,0.0832
4,0.9242,0.8882,0.0588,0.0787
5,0.9293,0.8989,0.0554,0.0742
6,0.9340,0.9123,0.0522,0.0643
7,0.9378,0.9017,0.0495,0.0721
8,0.9413,0.9131,0.0472,0.0653
9,0.9441,0.9183,0.0451,0.0623
10,0.9466,0.9210,0.0435,0.0605
1,0.8910,0.8677,0.0797,0.0901
2,0.9073,0.8838,0.0694,0.0812
3,0.9160,0.8978,0.0640,0.0711
4,0.9224,0.8921,0.0598,0.0767
5,0.9275,0.8945,0.0562,0.0766
6,0.9315,0.9088,0.0534,0.0651
7,0.9348,0.8978,0.0512,0.0739
8,0.9379,0.9088,0.0491,0.0662
9,0.9407,0.9083,0.0472,0.0678
10,0.9425,0.9145,0.0460,0.0625
1,0.8882,0.8761,0.0816,0.0852
2,0.9068,0.8861,0.0696,0.0812
3,0.9157,0.8899,0.0639,0.0787
4,0.9211,0.9067,0.0603,0.0666
5,0.9248,0.8973,0.0578,0.0737
6,0.9278,0.9155,0.0558,0.0615
7,0.9305,0.9120,0.0541,0.0655
8,0.9327,0.9251,0.0526,0.0538
9,0.9343,0.9160,0.0514,0.0616
10,0.9362,0.9127,0.0502,0.0648
1,0.8966,0.8779,0.0762,0.0852
2,0.9151,0.9074,0.0644,0.0662
3,0.9224,0.9084,0.0593,0.0654
4,0.9282,0.8983,0.0552,0.0737
5,0.9325,0.9085,0.0521,0.0657
6,0.9369,0.9186,0.0490,0.0586
7,0.9407,0.9193,0.0463,0.0599
8,0.9445,0.9205,0.0436,0.0595
9,0.9475,0.9252,0.0414,0.0559
10,0.9502,0.9323,0.0395,0.0514
1,0.8912,0.8747,0.0800,0.0859
2,0.9061,0.8818,0.0699,0.0836
3,0.9140,0.8909,0.0649,0.0786
4,0.9190,0.8974,0.0616,0.0743
5,0.9226,0.8980,0.0592,0.0741
6,0.9259,0.9033,0.0569,0.0711
7,0.9289,0.8945,0.0550,0.0785
8,0.9310,0.9006,0.0534,0.0717
9,0.9330,0.9021,0.0522,0.0715
10,0.9345,0.9090,0.0512,0.0653
1,0.8894,0.8693,0.0812,0.0904
2,0.9035,0.8629,0.0717,0.0938
3,0.9114,0.8903,0.0670,0.0766
4,0.9185,0.8892,0.0625,0.0791
5,0.9238,0.8853,0.0586,0.0826
6,0.9283,0.9135,0.0553,0.0616
7,0.9317,0.9017,0.0529,0.0719
8,0.9344,0.9087,0.0509,0.0671
9,0.9370,0.9133,0.0492,0.0633
10,0.9394,0.9183,0.0477,0.0602
1,0.8894,0.8837,0.0812,0.0815
2,0.9039,0.8716,0.0717,0.0890
3,0.9113,0.8921,0.0672,0.0750
4,0.9169,0.8808,0.0631,0.0837
5,0.9229,0.8907,0.0592,0.0784
6,0.9282,0.9052,0.0557,0.0698
7,0.9321,0.9056,0.0529,0.0693
8,0.9357,0.9040,0.0504,0.0698
9,0.9384,0.9170,0.0486,0.0617
10,0.9408,0.9119,0.0469,0.0659
1,0.8254,0.8124,0.0997,0.1209
2,0.8154,0.8170,0.0939,0.1149
3,0.8258,0.8283,0.0899,0.1211
4,0.8397,0.8532,0.0865,0.1023
5,0.8418,0.8300,0.0847,0.1063
6,0.8448,0.8649,0.0830,0.0926
7,0.8479,0.8687,0.0823,0.0955
8,0.8559,0.8647,0.0807,0.0995
9,0.8556,0.8626,0.0804,0.0968
10,0.8578,0.8670,0.0796,0.0959
1,0.8457,0.7668,0.0949,0.1332
2,0.8451,0.8532,0.0899,0.1029
3,0.8434,0.8309,0.0868,0.1132
4,0.8445,0.8593,0.0843,0.0929
5,0.8502,0.8612,0.0823,0.0964
6,0.8502,0.8453,0.0811,0.1040
7,0.8532,0.8464,0.0795,0.1018
8,0.8553,0.8474,0.0782,0.1019
9,0.8574,0.8644,0.0774,0.0938
10,0.8589,0.8662,0.0765,0.0906
1,0.8244,0.8065,0.0997,0.1263
2,0.8164,0.8442,0.0949,0.1021
3,0.8186,0.8424,0.0911,0.1091
4,0.8296,0.8851,0.0876,0.0781
5,0.8426,0.8430,0.0853,0.1119
6,0.8544,0.8616,0.0829,0.1009
7,0.8569,0.8537,0.0821,0.1036
8,0.8596,0.8453,0.0813,0.1078
9,0.8571,0.8553,0.0800,0.1043
10,0.8603,0.8573,0.0799,0.1096
1,0.8223,0.8521,0.0987,0.1011
2,0.8200,0.7873,0.0931,0.1361
3,0.8248,0.7888,0.0892,0.1342
4,0.8361,0.8652,0.0855,0.0913
5,0.8454,0.8260,0.0839,0.1172
6,0.8533,0.8662,0.0823,0.0930
7,0.8565,0.8785,0.0810,0.0920
8,0.8611,0.8693,0.0802,0.0974
9,0.8573,0.8441,0.0792,0.1117
10,0.8599,0.8665,0.0794,0.0984
1,0.8232,0.8785,0.0998,0.0937
2,0.8228,0.8473,0.0944,0.1048
3,0.8245,0.8329,0.0916,0.1163
4,0.8291,0.7861,0.0885,0.1207
5,0.8390,0.8323,0.0860,0.1104
6,0.8441,0.8310,0.0842,0.1108
7,0.8493,0.8287,0.0826,0.1208
8,0.8477,0.8477,0.0815,0.1004
9,0.8534,0.8766,0.0802,0.0916
10,0.8553,0.8503,0.0794,0.0951
1,0.7995,0.8208,0.3592,0.2939
2,0.8179,0.8190,0.3065,0.2893
3,0.8252,0.8481,0.2928,0.2626
4,0.8382,0.8508,0.2808,0.2648
5,0.8439,0.8336,0.2749,0.3081
6,0.8515,0.8590,0.2662,0.2738
7,0.8576,0.8616,0.2625,0.2658
8,0.8604,0.8697,0.2603,0.2549
9,0.8635,0.8648,0.2553,0.2678
10,0.8636,0.8785,0.2550,0.2404
1,0.8329,0.8510,0.3280,0.2696
2,0.8319,0.8270,0.2992,0.2877
3,0.8310,0.8465,0.2883,0.2672
4,0.8386,0.8598,0.2786,0.2656
5,0.8435,0.8556,0.2714,0.2770
6,0.8497,0.8518,0.2647,0.2744
7,0.8535,0.8667,0.2601,0.2557
8,0.8570,0.8480,0.2590,0.2843
9,0.8594,0.8599,0.2566,0.2714
10,0.8622,0.8581,0.2517,0.2839
1,0.8139,0.8096,0.3675,0.3308
2,0.8108,0.8295,0.3182,0.3095
3,0.8178,0.8411,0.3067,0.2930
4,0.8269,0.8278,0.2966,0.3070
5,0.8306,0.8393,0.2879,0.2982
6,0.8357,0.8453,0.2836,0.2867
7,0.8433,0.8522,0.2759,0.2866
8,0.8476,0.8611,0.2720,0.2658
9,0.8513,0.8683,0.2685,0.2570
10,0.8552,0.8546,0.2652,0.2881
1,0.8040,0.8042,0.3645,0.3467
2,0.8138,0.8486,0.3204,0.2814
3,0.8243,0.8546,0.3030,0.2775
4,0.8276,0.8367,0.2978,0.2961
5,0.8340,0.8468,0.2870,0.2826
6,0.8363,0.8636,0.2833,0.2511
7,0.8446,0.8458,0.2760,0.2868
8,0.8459,0.8543,0.2742,0.2779
9,0.8497,0.8525,0.2706,0.2867
10,0.8520,0.8631,0.2694,0.2618
1,0.8060,0.8197,0.3627,0.3191
2,0.8123,0.8216,0.3257,0.3089
3,0.8140,0.8142,0.3152,0.3086
4,0.8162,0.8282,0.3083,0.2990
5,0.8210,0.8422,0.3016,0.2752
6,0.8237,0.8135,0.2984,0.3160
7,0.8266,0.8382,0.2937,0.2800
8,0.8306,0.8235,0.2901,0.3038
9,0.8321,0.8272,0.2855,0.3014
10,0.8335,0.8441,0.2822,0.2743
1,0.7211,0.8544,0.5454,0.4219
2,0.8466,0.8482,0.3765,0.3332
3,0.8598,0.8559,0.3419,0.3121
4,0.8664,0.8472,0.3283,0.3161
5,0.8733,0.8457,0.3197,0.3120
6,0.8733,0.8560,0.3139,0.2874
7,0.8741,0.8300,0.3128,0.3234
8,0.8757,0.8467,0.3100,0.2955
9,0.8790,0.8189,0.3078,0.3366
10,0.8769,0.8309,0.3064,0.3164
1,0.8462,0.8610,0.3770,0.2908
2,0.8751,0.8227,0.3198,0.3433
3,0.8765,0.8372,0.3118,0.3076
4,0.8779,0.8407,0.3095,0.2988
5,0.8802,0.8397,0.3047,0.2995
6,0.8822,0.8441,0.3013,0.2899
7,0.8823,0.8304,0.2990,0.3187
8,0.8818,0.8417,0.2998,0.2955
9,0.8825,0.8293,0.2988,0.3151
10,0.8841,0.8502,0.2950,0.2793
1,0.8402,0.8110,0.3840,0.3765
2,0.8683,0.8347,0.3295,0.3147
3,0.8741,0.8434,0.3200,0.2993
4,0.8764,0.8425,0.3109,0.2961
5,0.8761,0.8242,0.3067,0.3233
6,0.8783,0.8332,0.3059,0.3064
7,0.8773,0.8427,0.3069,0.2908
8,0.8773,0.8586,0.3065,0.2699
9,0.8820,0.8440,0.3013,0.2967
10,0.8825,0.8577,0.2993,0.2714
1,0.8356,0.8544,0.3850,0.2972
2,0.8694,0.8658,0.3239,0.2747
3,0.8705,0.8513,0.3158,0.2883
4,0.8740,0.8279,0.3126,0.3202
5,0.8758,0.8400,0.3079,0.2961
6,0.8799,0.8480,0.3048,0.2840
7,0.8777,0.8453,0.3043,0.2886
8,0.8787,0.8640,0.3028,0.2626
9,0.8816,0.8397,0.3005,0.2974
10,0.8793,0.8464,0.3014,0.2858
1,0.8287,0.8472,0.3917,0.3061
2,0.8684,0.8369,0.3225,0.3296
3,0.8724,0.8623,0.3141,0.2834
4,0.8761,0.8286,0.3072,0.3270
5,0.8778,0.8516,0.3072,0.2927
6,0.8761,0.8254,0.3058,0.3316
7,0.8799,0.8514,0.3028,0.2887
8,0.8771,0.8421,0.3004,0.3026
9,0.8792,0.8460,0.3004,0.2967
10,0.8808,0.8574,0.2963,0.2816
1,0.8752,0.8396,0.3060,0.2918
2,0.8864,0.8539,0.2779,0.2925
3,0.8884,0.8613,0.2705,0.2831
4,0.8898,0.8608,0.2662,0.2853
5,0.8913,0.8619,0.2632,0.2876
6,0.8928,0.8616,0.2600,0.2819
7,0.8940,0.8644,0.2577,0.2786
8,0.8952,0.8680,0.2556,0.2686
9,0.8961,0.8712,0.2539,0.2692
10,0.8970,0.8681,0.2521,0.2701
1,0.8866,0.8535,0.2817,0.2720
2,0.8957,0.8595,0.2592,0.2799
3,0.8985,0.8736,0.2511,0.2615
4,0.9009,0.8764,0.2455,0.2506
5,0.9032,0.8818,0.2402,0.2489
6,0.9054,0.8803,0.2364,0.2462
7,0.9070,0.8850,0.2327,0.2372
8,0.9089,0.8849,0.2297,0.2407
9,0.9107,0.8920,0.2262,0.2295
10,0.9121,0.8921,0.2236,0.2307
1,0.8801,0.8516,0.2960,0.2823
2,0.8887,0.8533,0.2733,0.2964
3,0.8909,0.8606,0.2663,0.2833
4,0.8926,0.8602,0.2618,0.2876
5,0.8938,0.8645,0.2588,0.2736
6,0.8951,0.8696,0.2561,0.2701
7,0.8958,0.8675,0.2541,0.2678
8,0.8968,0.8647,0.2517,0.2746
9,0.8976,0.8727,0.2501,0.2687
10,0.8982,0.8753,0.2482,0.2568
1,0.8797,0.8311,0.2957,0.2997
2,0.8865,0.8471,0.2752,0.2848
3,0.8885,0.8596,0.2687,0.2752
4,0.8903,0.8668,0.2639,0.2662
5,0.8917,0.8569,0.2612,0.2831
6,0.8928,0.8625,0.2581,0.2730
7,0.8938,0.8656,0.2560,0.2724
8,0.8949,0.8644,0.2538,0.2846
9,0.8958,0.8721,0.2522,0.2618
10,0.8966,0.8652,0.2507,0.2692
1,0.8805,0.8433,0.2968,0.2979
2,0.8878,0.8504,0.2764,0.2923
3,0.8892,0.8689,0.2697,0.2769
4,0.8907,0.8671,0.2651,0.2801
5,0.8914,0.8705,0.2619,0.2771
6,0.8933,0.8707,0.2588,0.2701
7,0.8942,0.8770,0.2562,0.2624
8,0.8950,0.8697,0.2544,0.2708
9,0.8961,0.8764,0.2520,0.2653
10,0.8968,0.8737,0.2506,0.2695
1,0.8838,0.8651,0.2812,0.2753
2,0.9037,0.8811,0.2413,0.2468
3,0.9094,0.8927,0.2280,0.2284
4,0.9132,0.8923,0.2195,0.2291
5,0.9163,0.8897,0.2125,0.2333
6,0.9189,0.8949,0.2070,0.2205
7,0.9202,0.9014,0.2033,0.2086
8,0.9220,0.9089,0.1996,0.1969
9,0.9233,0.9065,0.1973,0.1998
10,0.9244,0.9080,0.1950,0.1988
1,0.8947,0.8753,0.2627,0.2480
2,0.9100,0.8795,0.2293,0.2462
3,0.9157,0.8980,0.2159,0.2165
4,0.9199,0.9007,0.2065,0.2085
5,0.9234,0.8994,0.1991,0.2122
6,0.9260,0.9043,0.1927,0.2031
7,0.9284,0.9117,0.1878,0.1900
8,0.9300,0.9115,0.1838,0.1907
9,0.9317,0.9124,0.1800,0.1886
10,0.9331,0.9153,0.1774,0.1828
1,0.8879,0.8705,0.2735,0.2646
2,0.9034,0.8784,0.2402,0.2505
3,0.9087,0.8822,0.2279,0.2493
4,0.9129,0.8874,0.2190,0.2321
5,0.9157,0.8892,0.2126,0.2324
6,0.9181,0.8919,0.2073,0.2273
7,0.9202,0.8900,0.2031,0.2295
8,0.9217,0.8934,0.1996,0.2231
9,0.9231,0.8958,0.1966,0.2148
10,0.9243,0.8927,0.1941,0.2216
1,0.8893,0.8700,0.2718,0.2642
2,0.9040,0.8751,0.2390,0.2504
3,0.9093,0.8785,0.2267,0.2428
4,0.9129,0.8817,0.2191,0.2424
5,0.9156,0.8797,0.2134,0.2420
6,0.9175,0.8864,0.2090,0.2281
7,0.9195,0.8913,0.2053,0.2279
8,0.9205,0.8895,0.2024,0.2296
9,0.9222,0.8994,0.1995,0.2097
10,0.9232,0.8980,0.1971,0.2146
1,0.8886,0.8725,0.2745,0.2604
2,0.9041,0.8729,0.2404,0.2651
3,0.9097,0.8822,0.2276,0.2441
4,0.9140,0.8865,0.2181,0.2303
5,0.9169,0.8825,0.2110,0.2379
6,0.9193,0.8939,0.2056,0.2143
7,0.9210,0.8946,0.2015,0.2129
8,0.9228,0.8947,0.1980,0.2097
9,0.9242,0.8979,0.1950,0.2073
10,0.9254,0.8964,0.1931,0.2067
1,0.8240,0.7720,0.3636,0.3835
2,0.8145,0.7785,0.3217,0.3958
3,0.8175,0.8203,0.3135,0.3218
4,0.8266,0.8285,0.3067,0.3041
5,0.8276,0.8143,0.2985,0.3267
6,0.8313,0.8423,0.2944,0.2907
7,0.8368,0.8391,0.2903,0.3044
8,0.8405,0.8612,0.2861,0.2630
9,0.8431,0.8345,0.2857,0.3107
10,0.8431,0.8296,0.2821,0.3141
1,0.8319,0.8158,0.3332,0.3185
2,0.8294,0.8314,0.3072,0.2938
3,0.8324,0.8459,0.2995,0.2684
4,0.8373,0.8556,0.2927,0.2552
5,0.8410,0.8592,0.2880,0.2557
6,0.8457,0.8458,0.2794,0.2725
7,0.8467,0.8493,0.2766,0.2761
8,0.8507,0.8672,0.2744,0.2447
9,0.8556,0.8457,0.2703,0.2818
10,0.8556,0.8559,0.2679,0.2656
1,0.8176,0.8093,0.3492,0.3454
2,0.8144,0.8319,0.3252,0.3036
3,0.8169,0.8273,0.3183,0.3111
4,0.8177,0.8433,0.3125,0.2836
5,0.8223,0.8056,0.3064,0.3338
6,0.8227,0.8454,0.3029,0.2770
7,0.8277,0.8511,0.2984,0.2701
8,0.8329,0.8486,0.2952,0.2727
9,0.8354,0.8268,0.2909,0.3264
10,0.8365,0.8545,0.2891,0.2707
1,0.8282,0.8115,0.3568,0.3447
2,0.8164,0.7947,0.3308,0.3604
3,0.8151,0.8239,0.3233,0.3075
4,0.8175,0.7933,0.3171,0.3521
5,0.8203,0.8025,0.3148,0.3462
6,0.8183,0.8296,0.3095,0.2920
7,0.8210,0.8010,0.3034,0.3439
8,0.8234,0.8437,0.3019,0.2754
9,0.8254,0.8146,0.2975,0.3270
10,0.8280,0.8201,0.2960,0.3028
1,0.8333,0.8029,0.3782,0.3510
2,0.8155,0.8265,0.3346,0.3051
3,0.8148,0.8394,0.3262,0.2820
4,0.8151,0.7994,0.3228,0.3371
5,0.8168,0.8213,0.3180,0.3080
6,0.8203,0.8414,0.3130,0.2747
7,0.8196,0.7979,0.3121,0.3471
8,0.8218,0.8362,0.3065,0.2838
9,0.8238,0.8186,0.3055,0.3133
10,0.8251,0.8333,0.3034,0.2916
